"","Tipo.de.Pendência","Issue","Situação","Data.de.Resolução"
"406","Story","ACT-2547","Done","2017-07-20 00:00:00"
"407","Story","ACT-2545","Done","2017-07-20 00:00:00"
"409","Story","ACT-2537","Done","2017-07-20 00:00:00"
"412","Story","ACT-2526","Done","2017-06-27 00:00:00"
"413","Story","ACT-2523","Done","2017-07-20 00:00:00"
"415","Story","ACT-2446","Done","2017-06-20 00:00:00"
"416","Story","ACT-2388","Done","2017-07-12 00:00:00"
"417","Story","ACT-2332","Done","2017-07-21 00:00:00"
"418","Story","ACT-2330","Done","2017-06-19 00:00:00"
"419","Story","ACT-2327","Done","2017-07-18 00:00:00"
"421","Story","ACT-2261","Done","2017-06-07 00:00:00"
"422","Story","ACT-2260","Done","2017-06-28 00:00:00"
"423","Story","ACT-2258","Done","2017-06-06 00:00:00"
"424","Task","ACT-2206","Done","2017-07-06 00:00:00"
"425","Story","ACT-2185","Done","2017-06-22 00:00:00"
"427","Story","ACT-2113","Done","2017-06-16 00:00:00"
"428","Story","ACT-2035","Done","2017-06-02 00:00:00"
"431","Story","ACT-1986","Done","2017-06-28 00:00:00"
"432","Story","ACT-1983","Done","2017-07-21 00:00:00"
"435","Story","ACT-1964","Done","2017-06-16 00:00:00"
"436","Story","ACT-1963","Done","2017-06-22 00:00:00"
"437","Story","ACT-1962","Done","2017-06-19 00:00:00"
"438","Story","ACT-1961","Done","2017-06-21 00:00:00"
"439","Story","ACT-1960","Done","2017-06-22 00:00:00"
"440","Story","ACT-1959","Done","2017-06-08 00:00:00"
"441","Story","ACT-1793","Done","2017-06-27 00:00:00"
"442","Story","ACT-1792","Done","2017-06-27 00:00:00"
"443","Story","ACT-1791","Done","2017-06-27 00:00:00"
"444","Story","ACT-1790","Done","2017-06-27 00:00:00"
"445","Story","ACT-1789","Done","2017-06-27 00:00:00"
"446","Story","ACT-1786","Done","2017-06-27 00:00:00"
"447","Story","ACT-1785","Done","2017-06-27 00:00:00"
"448","Story","ACT-1783","Done","2017-06-27 00:00:00"
"449","Story","ACT-1782","Done","2017-06-27 00:00:00"
"450","Story","ACT-1781","Done","2017-06-27 00:00:00"
"451","Story","ACT-1779","Done","2017-06-27 00:00:00"
"452","Story","ACT-1771","Done","2017-06-14 00:00:00"
"453","Story","ACT-1770","Done","2017-06-23 00:00:00"
"454","Story","ACT-1769","Done","2017-06-22 00:00:00"
"455","Story","ACT-1768","Done","2017-06-26 00:00:00"
"456","Story","ACT-1754","Done","2017-06-19 00:00:00"
"457","Story","ACT-1753","Done","2017-06-22 00:00:00"
"458","Story","ACT-1752","Done","2017-06-30 00:00:00"
"459","Story","ACT-1737","Done","2017-06-29 00:00:00"
"460","Story","ACT-1734","Done","2017-06-06 00:00:00"
"461","Story","ACT-1733","Done","2017-06-13 00:00:00"
"462","Story","ACT-1732","Done","2017-06-16 00:00:00"
"463","Story","ACT-1731","Done","2017-06-21 00:00:00"
"464","Story","ACT-1730","Done","2017-06-19 00:00:00"
"465","Story","ACT-1725","Done","2017-07-11 00:00:00"
"466","Story","ACT-1723","Done","2017-06-14 00:00:00"
"467","Story","ACT-1719","Done","2017-06-14 00:00:00"
"468","Story","ACT-1718","Done","2017-07-04 00:00:00"
"469","Story","ACT-1716","Done","2017-06-16 00:00:00"
"470","Story","ACT-1715","Done","2017-06-08 00:00:00"
"471","Story","ACT-1705","Done","2017-05-30 00:00:00"
"472","Story","ACT-1704","Done","2017-06-08 00:00:00"
"473","Story","ACT-1703","Done","2017-06-19 00:00:00"
"474","Story","ACT-1701","Done","2017-06-16 00:00:00"
"475","Story","ACT-1697","Done","2017-06-20 00:00:00"
"476","Story","ACT-1686","Done","2017-06-08 00:00:00"
"477","Story","ACT-1681","Done","2017-06-15 00:00:00"
"478","Story","ACT-1680","Done","2017-06-15 00:00:00"
"479","Story","ACT-1663","Done","2017-07-06 00:00:00"
"480","Story","ACT-1662","Done","2017-07-10 00:00:00"
"481","Story","ACT-1661","Done","2017-06-27 00:00:00"
"482","Story","ACT-1660","Done","2017-07-10 00:00:00"
"483","Story","ACT-1659","Done","2017-06-02 00:00:00"
"484","Story","ACT-1658","Done","2017-07-12 00:00:00"
"485","Story","ACT-1657","Done","2017-07-10 00:00:00"
"486","Story","ACT-1656","Done","2017-06-01 00:00:00"
"487","Story","ACT-1654","Done","2017-07-06 00:00:00"
"488","Story","ACT-1653","Done","2017-07-07 00:00:00"
"489","Story","ACT-1652","Done","2017-07-10 00:00:00"
"490","Story","ACT-1651","Done","2017-06-27 00:00:00"
"491","Story","ACT-1637","Done","2017-07-06 00:00:00"
"492","Story","ACT-1629","Done","2017-06-27 00:00:00"
"494","Story","ACT-1498","Done","2017-07-21 00:00:00"
"496","Story","ACT-1496","Done","2017-06-26 00:00:00"
"497","Story","ACT-1495","Done","2017-06-21 00:00:00"
"498","Story","ACT-1494","Done","2017-07-25 00:00:00"
"499","Story","ACT-1493","Done","2017-07-18 00:00:00"
"500","Story","ACT-1492","Done","2017-07-13 00:00:00"
"501","Story","ACT-1491","Done","2017-07-06 00:00:00"
"502","Story","ACT-1490","Done","2017-07-11 00:00:00"
"503","Story","ACT-1489","Done","2017-06-27 00:00:00"
"504","Story","ACT-1488","Done","2017-06-27 00:00:00"
"505","Story","ACT-1487","Done","2017-06-15 00:00:00"
"506","Story","ACT-1485","Done","2017-07-18 00:00:00"
"507","Story","ACT-1484","Done","2017-07-10 00:00:00"
"508","Story","ACT-1483","Done","2017-07-14 00:00:00"
"509","Story","ACT-1482","Done","2017-06-07 00:00:00"
"510","Story","ACT-1481","Done","2017-07-20 00:00:00"
"511","Story","ACT-1480","Done","2017-06-13 00:00:00"
"512","Story","ACT-1468","Done","2017-07-18 00:00:00"
"515","Story","ACT-1347","Done","2017-07-12 00:00:00"
"516","Story","ACT-1343","Done","2017-07-12 00:00:00"
"517","Story","ACT-1335","Done","2017-07-14 00:00:00"
"518","Story","ACT-1331","Done","2017-07-07 00:00:00"
"519","Story","ACT-1233","Done","2017-06-19 00:00:00"
"520","Story","ACT-275","Done","2017-06-27 00:00:00"
"521","Task","ACT-201","Done","2017-07-14 00:00:00"
"525","Story","ACT-156","Done","2017-05-22 00:00:00"
"526","Story","ACT-154","Done","2017-05-22 00:00:00"
"527","Story","ACT-153","Done","2017-05-22 00:00:00"
"528","Story","ACT-152","Done","2017-05-11 00:00:00"
"529","Story","ACT-151","Done","2017-05-04 00:00:00"
"530","Story","ACT-150","Done","2017-05-22 00:00:00"
