"","Issue","Ready For Dev","In Dev","Ready For System Test","In System Test","Tipo.de.Pendência","Situação","Data.de.Resolução","Lead.Time"
"99","ACT-6288",0,0.86,4.86,0.09,"Story","Done",2017-08-22,5.81
"101","ACT-6352",0,1.13,2.89,1.03,"Story","Done",2017-08-22,5.05
"102","ACT-6354",0,4.72,0.32,0.01,"Story","Done",2017-08-22,5.05
"103","ACT-6355",0,0,0.25,4.82,"Story","Done",2017-08-22,5.07
"96","ACT-6201",0.88,2.1,6.2,0,"Story","Done",2017-08-24,9.18
"91","ACT-5588",0,2.28,0,7.9,"Story","Done",2017-08-25,10.18
"63","ACT-2823",2.2,3.78,6.91,0.21,"Story","Done",2017-08-28,13.1
"106","ACT-6808",0,0.07,3.77,0.11,"Story","Done",2017-08-28,3.95
"104","ACT-6357",0,3.19,0.94,5.97,"Story","Done",2017-09-04,10.1
"64","ACT-2824",3.12,0.02,3.97,1.95,"Story","Done",2017-09-06,9.06
"65","ACT-2825",0.23,2.91,3.97,1.95,"Story","Done",2017-09-06,9.06
