"","Issue","In Analysis","Ready For Dev","In Dev","Ready For Test","In Test","Ready For Confirmation","Tipo.de.Pendência","Situação","Data.de.Resolução","Lead.Time"
"57","ACT-3712",0,0.75,0.99,0.71,0.42,0,"Story","Done",2017-07-28,2.87
"65","ACT-3748",0,0,12.06,0.96,0.01,0,"Story","Done",2017-08-01,13.03
"68","ACT-3795",0,0,0.89,0.06,0.93,0,"Story","Done",2017-08-02,1.88
"61","ACT-3727",0,0,6.49,4.71,3.98,0,"Story","Done",2017-08-03,15.18
"62","ACT-3728",0,5.96,0.8,0.21,2.02,0,"Story","Done",2017-08-03,8.99
"63","ACT-3733",0,2.78,3.97,0.16,1.93,0,"Story","Done",2017-08-03,8.84
"58","ACT-3713",0,0,0,0.17,1.02,0,"Story","Done",2017-08-04,1.19
"76","ACT-4441",0,0,0,0.18,1.07,0,"Story","Done",2017-08-04,1.25
"56","ACT-3711",0,4.77,1.21,0.01,8.91,0,"Story","Done",2017-08-10,14.9
"66","ACT-3752",0,1.01,0,8.84,2,0,"Story","Done",2017-08-11,11.85
"60","ACT-3726",3.95,1.12,3.94,2.92,0.12,0,"Story","Done",2017-08-14,12.05
"39","ACT-2566",0,0,12.78,0.01,14,0,"Story","Done",2017-08-15,26.79
"90","ACT-4584",22.59,4.14,0,3.03,3.77,0,"Story","Done",2017-08-15,33.53
"91","ACT-4586",0,8.18,0,2.12,5.66,1.26,"Story","Done",2017-08-17,17.22
"5","ACT-1390",14.75,0,26.26,0.45,15.1,0,"Story","Done",2017-08-18,56.56
"89","ACT-4582",0,0,0,0,0.94,0,"Story","Done",2017-08-22,0.94
"97","ACT-6052",0,0,5.96,0.79,3.98,0,"Story","Done",2017-08-22,10.73
"86","ACT-4579",0,2.25,0,0,0.77,0,"Story","Done",2017-08-24,3.02
"85","ACT-4578",26.77,9,0,0.01,1.15,0,"Story","Done",2017-08-25,36.93
"93","ACT-5228",0,0,0,0,1.25,0,"Story","Done",2017-08-25,1.25
"87","ACT-4580",0,0,0,0.03,1.01,0,"Story","Done",2017-08-29,1.04
"84","ACT-4577",0,3.91,2,0.02,2.06,0,"Story","Done",2017-08-30,7.99
"88","ACT-4581",0,0.84,0,0.14,1.25,0,"Story","Done",2017-08-30,2.23
"34","ACT-2014",0,7.89,3.2,0.08,20.7,0,"Story","Done",2017-08-31,31.87
"103","ACT-6495",0,3.97,1.24,1.7,0.26,0,"Story","Done",2017-08-31,7.17
"96","ACT-6046",0,6.98,5.72,1.45,1.04,0,"Story","Done",2017-09-05,15.19
"67","ACT-3783",7.11,7.96,11.9,6.02,3.24,0.02,"Story","Done",2017-09-07,36.25
